source,target,Genre,Track,Year,Popularity
Them,Van Morrison,pop,I'm Gonna Dress in Black (feat. Van Morrison) - Version 2 Mono,1965,22
Them,Van Morrison,pop,"It's All Over Now, Baby Blue (feat. Van Morrison)",1966,58
Them,Van Morrison,pop,My Lonely Sad Eyes (feat. Van Morrison),1966,35
Them,Van Morrison,pop,I Can Only Give You Everything (feat. Van Morrison),1966,34
Them,Van Morrison,pop,Could You Would You (feat. Van Morrison),1966,25
Them,Van Morrison,pop,Turn on Your Love Light (feat. Van Morrison),1966,22
Them,Van Morrison,pop,Hey Girl (feat. Van Morrison),1966,23
Them,Van Morrison,pop,I Put a Spell on You (feat. Van Morrison),1966,24
Them,Van Morrison,pop,Something You Got (feat. Van Morrison) - Mono Version,1966,20
Them,Van Morrison,pop,I Got a Woman (feat. Van Morrison),1966,20
Them,Van Morrison,pop,How Long Baby (feat. Van Morrison),1966,21
Them,Van Morrison,pop,Call My Name (feat. Van Morrison),1966,21
Them,Van Morrison,pop,Bad or Good (feat. Van Morrison),1966,20
